10,99,1
10,100,1
6,96,1
10,98,1
6,96,1
9,97,1
9,98,1
6,100,1
9,99,1
7,96,1
10,99,1
9,99,1
7,99,1
7,97,1
6,99,1
6,99,1
10,99,1
6,96,1
7,100,1
6,99,1
6,97,1
9,98,1
9,99,1
8,99,1
6,98,1
7,100,1
9,99,1
8,99,1
6,97,1
6,96,1
7,98,1
6,96,1
7,97,1
9,100,1
7,98,1
9,96,1
7,96,1
8,96,1
8,96,1
7,98,1
2,92,2
3,91,2
2,91,2
1,94,2
2,90,2
3,96,2
5,92,2
3,93,2
4,94,2
1,91,2
3,95,2
4,93,2
4,90,2
5,91,2
3,92,2
2,91,2
2,92,2
5,93,2
4,92,2
4,90,2
4,91,2
5,89,2
3,93,2
2,96,2
5,96,2
2,90,2
1,90,2
4,94,2
3,94,2
5,93,2
5,92,2
2,89,2
3,89,2
5,92,2
2,95,2
4,96,2
1,93,2
2,96,2
1,92,2
2,94,2
9,86,3
1,83,3
3,83,3
10,85,3
5,84,3
6,84,3
2,86,3
5,85,3
9,82,3
1,85,3
7,83,3
4,84,3
1,83,3
6,86,3
10,83,3
10,86,3
8,86,3
2,84,3
8,85,3
7,86,3
8,86,3
6,85,3
9,84,3
3,84,3
8,82,3
8,85,3
1,85,3
8,84,3
2,86,3
8,82,3
3,82,3
1,85,3
2,86,3
4,84,3
6,84,3
9,82,3
7,86,3
7,82,3
9,86,3
9,82,3
12,95,3
14,93,3
11,95,3
12,90,3
12,94,3
13,93,3
13,95,3
12,92,3
14,90,3
13,89,3
14,94,3
14,95,3
12,89,3
13,90,3
11,92,3
13,95,3
12,89,3
14,92,3
13,92,3
11,91,3
14,90,3
11,92,3
11,94,3
13,93,3
12,93,3
13,95,3
12,94,3
11,90,3
11,95,3
12,91,3
14,91,3
14,94,3
14,93,3
13,90,3
13,92,3
14,89,3
13,91,3
14,94,3
11,90,3
13,91,3
8,75,4
1,78,4
2,75,4
6,80,4
3,80,4
9,77,4
5,81,4
3,75,4
7,81,4
10,75,4
1,76,4
6,76,4
6,77,4
